Features	Class
"[-2.8690356e+02  6.0704544e+01 -5.1405708e+01  1.2388232e+01
 -2.6269285e+01  1.6637744e+00 -8.0206156e+00 -4.3068194e+00
 -4.3713853e-01 -6.3942771e+00  1.5632795e+00 -5.7942467e+00
 -1.1231493e+00 -5.2671742e+00 -2.1101203e+00 -4.1646566e+00
 -6.3576740e-01 -1.2118697e+00 -9.7063249e-01  1.6197025e+00
 -4.7473526e+00 -9.7398871e-01 -3.5161972e+00  1.0698107e+00
  1.8445662e+00  5.4914278e-01 -2.6339823e-01 -2.9507015e+00
 -9.7719818e-01 -1.6756711e+00  5.0361037e-01 -2.6159866e+00
 -1.9162744e+00 -1.1812310e+00  2.4271783e-01  1.4472260e+00
  3.7298846e-01  2.8145947e+00 -4.3880293e-01 -3.6266646e-01]"	cat
"[-2.8290091e+02  7.8020317e+01 -7.7627129e+01  7.7571597e+00
 -4.7692867e+01  3.4052952e+01 -2.2942141e+01 -2.0869650e+01
 -1.6508293e+01 -2.3118261e+01 -3.2588242e+01 -3.2965637e+01
  4.9327331e+00 -9.8863869e+00  2.4980095e+01  4.0910783e+00
  1.3120437e+01  1.3209420e+01 -1.7073820e+01 -1.1473934e+01
 -3.1682692e+01 -7.6281419e+00 -4.3189235e+00 -5.8665767e+00
 -9.0310154e+00 -7.6620774e+00  6.1914415e+00  4.5686013e-01
 -2.6113775e+00 -1.2821909e+01  5.8228769e+00  9.4224644e+00
  2.8995712e+00  1.1483109e+00 -6.4250178e+00  1.3345469e+00
 -5.6069946e+00 -7.8285933e+00 -4.4274402e-01 -6.0647454e-02]"	cat
"[-265.25082     187.16246     -16.540411    -33.924404    -17.686039
   -4.292035      3.2826073   -11.500174    -24.37531     -22.41881
    4.008732     16.251162    -27.302488    -16.911621     24.201519
   -9.568959    -14.992243     -3.7624397   -24.279276     -9.481412
   11.3454275    -1.4560626    -5.495214     10.723485     23.134243
   25.84789      10.475641      8.754667     11.492372     -1.2320011
    1.996973     -0.31393272   -6.978242     -4.6126404    -2.6852365
   -1.633169     -0.8055929    -2.0658994    -7.741702     -9.777533  ]"	dog
"[-2.91138794e+02  1.11660515e+02 -6.24401331e+00  3.20583420e+01
 -1.07184029e+01  2.45703144e+01 -1.26068437e+00  4.27320910e+00
  8.42596114e-01 -6.18556166e+00  7.68605709e+00 -1.43928742e+00
  8.28510761e+00 -5.19147968e+00 -1.87485707e+00 -8.51599979e+00
 -4.43462610e+00  2.01023316e+00 -5.84523201e+00  4.99275148e-01
 -4.50492144e+00  3.94915652e+00  1.53173649e+00  1.60835111e+00
  2.59141684e+00  3.09260070e-01  2.21999955e+00 -2.15566635e+00
  4.14335823e+00  6.17165685e-01  1.33573815e-01  1.72741747e+00
  2.40391588e+00  1.49196649e+00 -4.63342667e-01  1.95924950e+00
 -2.93168449e+00  1.02086473e+00  1.39804780e+00 -7.74644375e-01]"	cat
"[-347.3274       76.14827     -42.269985    -38.179024     10.723802
   19.104778     -6.0202656     5.1155524    16.407337      6.707108
   -9.001341    -15.836098     -4.6839466    -1.5919055     9.299677
   11.473577      1.2790828    -5.5638857   -16.204443     -6.2531285
    7.836613      4.4363823    -6.9612093   -11.142794     -2.9029925
   -0.7009601    -5.3562965    -4.601111      6.7568474     9.076012
   -3.8369422    -7.047618     -0.68216455   -1.3464452    -6.953686
   -4.36167      -1.9251759    -6.7585793    -8.647809     -4.021835  ]"	cat
"[-2.8704202e+02  1.1503168e+02 -5.0068089e+01  1.0091646e+01
 -3.2071739e+01  3.4099636e+00 -1.8475456e+01 -1.2695925e+01
 -1.5339695e+00 -1.0827588e+01 -3.4061947e+00 -1.6182667e+01
 -4.3033142e+00 -1.2532725e+01 -4.6983747e+00 -4.7606784e-01
  2.8548455e-01  4.0585394e+00 -1.4865407e+00  6.6034975e+00
 -3.5311215e+00 -6.6973505e+00 -8.7293653e+00 -5.1387391e+00
 -5.0565857e-01 -3.7068777e+00 -3.6756332e+00 -6.3628950e+00
  9.8017842e-01 -2.4825323e+00 -4.8261795e+00 -3.8424509e+00
 -3.1266947e+00  1.3200570e+00  9.5471245e-01  4.1038518e+00
  3.8848772e+00  4.5883317e+00  1.1126271e+00 -1.3871197e+00]"	cat
"[-3.53546906e+02  1.26965401e+02 -1.11314936e+01 -8.62317467e+00
 -3.00896664e+01 -6.82565308e+00 -1.47321205e+01 -2.25403957e+01
 -1.47201414e+01 -8.66788101e+00  1.33183801e+00 -5.50850391e+00
  1.10867405e+00  2.32673717e+00 -4.70807505e+00 -8.77721786e+00
 -3.91128564e+00 -1.36256778e+00 -4.71107483e+00 -4.06095886e+00
 -7.54111719e+00 -6.97845280e-01  1.62334287e+00 -2.20839715e+00
 -2.15898633e+00 -2.13680005e+00 -1.05283833e+00 -3.56000876e+00
 -2.27715039e+00 -9.84039724e-01 -1.55556786e+00 -9.90645885e-01
  1.57629073e+00  1.92671072e+00 -4.25532788e-01  5.52500486e-01
  1.06826991e-01  1.91997811e-02 -1.49895465e+00 -1.37765002e+00]"	dog
"[-2.5504918e+02  1.4504630e+02 -6.5199203e+01 -5.0463531e+01
 -4.1726292e+01 -4.1359089e+01 -2.4374424e+01 -1.5465831e+01
 -1.1153168e+01 -1.3537802e+01  4.8450112e+00  1.1639054e+00
 -1.0051327e+01  1.4012916e+01  1.1854265e+01 -1.1402089e+01
 -1.1469044e+01 -4.1621447e+00 -6.9073777e+00 -1.1353163e+01
 -4.8640509e+00 -1.1939903e+00 -3.8595362e+00 -3.1555974e+00
 -3.9833448e+00 -5.8545572e-01  4.4431581e+00 -1.1352929e-01
 -6.9437474e-01  5.4583969e+00  2.7783077e+00 -6.7637175e-01
  2.7624991e+00  2.2886450e+00 -8.8856518e-01 -4.6266517e-01
  6.4288825e-01 -5.4182625e-01  1.3591778e-01  3.3297565e+00]"	dog
"[-3.4354565e+02  7.4463379e+01 -2.7076185e+01  2.3102255e+01
 -1.8885069e+01  8.5548954e+00 -1.1763304e+01 -1.3107251e-01
 -4.5751309e+00 -1.5562222e+01 -8.2161131e+00 -2.0359295e+01
 -4.1240988e+00 -1.2690173e+01 -4.3054543e+00 -5.3455853e+00
 -7.1363807e+00 -1.3541881e+00 -8.4104929e+00 -4.5983148e+00
 -9.4781246e+00 -4.1670880e+00 -8.1281767e+00 -7.2926540e+00
 -4.6037712e+00 -6.4513817e+00 -2.3934500e+00 -5.5979533e+00
 -1.2884820e+00 -3.1498117e+00 -1.8446407e+00 -1.5554693e+00
 -2.7796574e+00 -6.5619266e-01 -1.6924225e+00  8.2169223e-01
 -7.1208334e-01  6.8310475e-01 -2.6596826e-01 -3.2967228e-01]"	cat
"[-3.6094739e+02  1.3201157e+02  5.6138487e+00 -1.2829897e+01
 -1.5272296e+01 -9.7673845e+00 -9.2407331e+00  3.1728625e-01
 -8.9969283e-01  2.8223007e+00  3.7125363e+00  3.4992075e-01
  2.2502384e+00 -1.1192282e+00  9.3147097e+00  8.1068583e+00
  3.1343195e+00  1.6594622e+00 -4.3789349e+00 -7.4422736e+00
 -5.9087172e+00  2.6806316e-01 -1.5519300e+00 -1.8290116e+00
 -1.5030064e-01  5.7005209e-01  2.8608951e-01 -1.1295984e+00
 -3.1767371e+00 -3.5157425e+00  1.2440420e+00  8.3813727e-01
  2.9357672e-01 -2.0372884e+00 -1.9268909e+00 -3.6610812e-01
 -2.7585263e+00 -3.3691248e-01 -4.5441237e-01 -3.8116792e-01]"	dog
"[-292.7679      118.35591     -60.667015    -29.936722    -27.66036
  -29.684704    -21.905697    -20.586473     -6.113727    -11.085489
   -2.1004775     7.559303      0.71545726    4.3799596    -2.8993504
  -13.289111     -7.2557855    -1.2409748    -4.5098963    -4.4997535
    1.3279837    -1.8255192    -4.0230165    -1.1092329    -3.051148
   -0.7777643     0.7648339    -4.410937     -3.388203     -1.3413498
   -3.1448767     1.0518775     4.571931      2.4835217     0.3236162
   -1.5269536    -1.6034349    -1.2496908     0.5075259     1.9033538 ]"	dog
"[-4.4011957e+02  7.1095352e+01 -1.7847345e+01 -1.4905652e+01
 -1.5336382e+01 -9.4050922e+00 -1.2592131e+01 -1.2675970e+01
 -9.6784401e+00 -6.1449518e+00 -2.9543335e+00 -5.5951195e+00
 -1.4873092e+00 -3.6543102e+00 -8.8025913e+00 -8.4180231e+00
 -6.6000223e+00 -8.7583847e+00 -7.3830609e+00 -2.6312711e+00
 -7.7141327e-01  2.4285092e+00  1.7324071e+00  1.1953703e+00
 -1.8656127e-01 -9.4336599e-01  5.7018107e-01 -3.8506627e-02
  2.4583815e-01 -1.6181686e+00 -1.8912066e+00 -6.3469964e-01
 -5.6722206e-01 -8.8080627e-01 -1.4569798e+00  1.5349658e-01
  7.2694165e-01  2.4651618e+00  3.7100940e+00  7.0423442e-01]"	dog
"[-3.0201111e+02  1.6269467e+02 -2.8148067e+01 -1.6552612e+01
 -1.0565169e+01 -3.7437840e+00  2.8788223e+00 -2.0269446e+00
 -1.0055434e+01 -8.8017673e+00  8.2209282e+00  2.0298815e+00
 -2.5003506e+01 -3.2293692e+00  2.4935091e+01 -8.1556463e+00
 -6.5661497e+00  2.0739393e+00 -2.3148533e+01 -1.4144320e+01
 -5.9144969e+00 -9.5329542e+00 -7.6694746e+00  7.3388231e-01
  2.1263500e+01  2.5564735e+01  1.6061508e+01  1.1507402e+01
  2.6904707e+00 -3.3648238e+00  4.5356755e+00  1.2404677e+01
  1.1536059e+01  1.6300200e+00 -5.9319396e+00 -3.2633336e+00
 -1.9671069e-01  4.4703846e+00  2.3823025e+00 -1.0121122e+01]"	dog
"[-2.85749084e+02  1.07495285e+02 -1.42269182e+01  3.31142044e+01
 -9.62997627e+00  2.54784031e+01 -9.42998946e-01  4.54526186e+00
  1.15581679e+00 -2.97614408e+00  1.02337999e+01 -1.88795531e+00
  8.07494450e+00 -5.86177206e+00 -1.71878576e+00 -6.66631174e+00
 -2.57597017e+00  2.45406461e+00 -5.39901829e+00  1.33919096e+00
 -2.18878174e+00  4.80880737e+00  1.15872872e+00  2.57527280e+00
  1.83681548e+00  2.39077419e-01  2.12299919e+00 -1.45289946e+00
  5.36607456e+00 -9.70455766e-01 -4.11308616e-01  2.75488853e+00
  2.37033033e+00  3.11479837e-01 -3.73522490e-01  1.47743237e+00
 -3.25347710e+00  2.39467096e+00 -3.38923663e-01 -2.68920183e+00]"	cat
"[-3.4007867e+02  1.4219446e+02  3.9806305e+01  3.2033989e+01
  2.4036604e+01  3.4168400e+01  1.7585339e+01  9.5091743e+00
  3.5283122e+00 -1.9770814e-01  7.0424318e+00  4.5253067e+00
  2.6334624e+00  6.1093144e+00  1.3703863e+01  4.2027931e+00
  6.5204148e+00  7.2650561e+00  9.7109091e-01  3.9664528e+00
 -3.4870274e+00  2.7677577e+00  2.2151892e+00 -1.4612236e+00
  3.2655923e+00 -3.3883169e-01  1.1634703e+00  1.1212014e+00
  1.2229987e+00  1.3712212e-01  1.0864183e+00  7.4552202e-01
 -1.9052233e+00  1.3493273e+00 -1.2533259e+00 -9.6325642e-01
 -8.7835051e-02 -2.1963033e-01  6.2129134e-01 -1.3933634e+00]"	cat
"[-4.4247418e+02  1.4929005e+02 -2.6293858e+01  4.1543785e+01
 -2.4027769e+01  2.6461454e+01 -5.9757676e+00  6.3132963e+00
 -2.6703843e-01 -9.9941845e+00  1.1165775e+00 -1.0333799e+01
  9.0279245e+00 -3.7292886e+00  1.1499485e+01 -2.5762466e-01
 -1.2708948e+00  2.8640916e+00 -4.2430844e+00  6.6267568e-01
 -9.2025414e+00  2.6334739e-01 -4.7164917e+00 -2.0054495e+00
 -4.3590260e+00 -5.2252302e+00 -2.0525982e+00 -7.4581833e+00
 -1.9072815e+00 -3.4212816e+00 -1.9620191e+00 -5.7650313e+00
 -2.2129474e+00 -1.6588118e+00 -3.3358800e+00 -1.5594547e+00
 -5.1692181e+00 -3.2360446e+00 -3.5908782e+00 -1.5086194e+00]"	cat
"[-3.08206421e+02  1.74529022e+02 -2.60143604e+01 -3.20873299e+01
 -1.20120859e+01 -1.15999622e+01 -5.85401821e+00 -2.20028353e+00
 -9.25459576e+00  2.76632071e+00  8.20306778e+00 -6.62754822e+00
 -1.11506424e+01  5.26808357e+00  1.01424427e+01 -1.85653496e+01
 -1.48706551e+01 -4.76268530e+00 -1.19857645e+01 -3.45753574e+00
 -2.41692114e+00 -5.07340610e-01  2.32461452e+00  2.52996445e+00
  1.87854934e+00 -6.61344624e+00 -5.40734863e+00  3.77550387e+00
  6.53067923e+00  1.19389181e+01  2.43508358e+01  2.23083305e+01
  1.29371262e+01  8.15184307e+00 -3.54071188e+00 -6.52301121e+00
 -6.15557954e-02  3.56019330e+00  4.72650099e+00 -4.15876675e+00]"	dog
"[-2.62779877e+02  1.10551414e+02 -1.47934637e+01  5.40216331e+01
 -1.59457884e+01  2.65933685e+01  5.00139296e-01  1.18885450e+01
  1.39639568e+01  6.40283871e+00  1.80388260e+01  2.48268914e+00
  1.16014156e+01 -3.59326625e+00  4.62310374e-01 -6.03010130e+00
 -1.32203162e+00  2.67212653e+00 -4.66968775e+00 -1.71258795e+00
 -3.65787888e+00  5.90090752e+00 -3.19945645e+00 -1.02109122e+00
 -2.78767664e-02 -6.58424348e-02  5.06827652e-01 -6.98100626e-01
  7.07445431e+00 -1.26166379e+00  1.31854093e+00  4.03781176e+00
  2.31755781e+00  1.44532549e+00  6.59189820e-01 -1.26602918e-01
 -8.15742970e-01  4.31108379e+00  6.21653557e-01  6.62904143e-01]"	cat
"[-3.1348309e+02  1.7668250e+02 -3.7360775e+01 -3.8759003e+01
 -2.1229689e+01 -5.8858795e+00 -8.8391800e+00 -2.3043048e+00
 -1.5343660e+01 -5.4347997e+00  1.6139124e+01 -2.3428485e+00
 -1.8575974e+01  4.3143044e+00  2.5076849e+01 -1.2564459e+01
 -7.4370623e+00  1.2846632e+00 -2.1651035e+01 -8.8057506e-01
  1.0547261e+01  4.9696889e+00  6.1743178e+00  1.4581099e+01
  1.7839764e+01  1.3796645e+01  4.3847170e+00 -1.9664001e+00
  4.6614132e+00  1.3922813e+00  2.4087133e+00 -1.2399545e+00
 -8.6176796e+00 -4.9835472e+00  6.2224157e-02  2.5467658e+00
 -7.2175446e+00 -6.3885798e+00 -3.0886927e-01  1.0741620e+00]"	dog
"[-3.0742075e+02  1.6920331e+02 -2.7435415e+01 -1.3129640e+01
 -8.2219992e+00 -7.4110198e-01 -6.8586354e+00 -1.0905155e+01
 -9.7616978e+00  3.4615128e+00  7.9430690e+00  5.6519227e+00
 -1.3463087e+01 -4.4702640e+00  2.6538752e+01 -1.3527779e+01
 -1.2822939e+01 -6.9436556e-01 -2.1649120e+01 -3.9667201e+00
  2.5460958e+00 -9.8254986e+00 -5.9323835e+00  2.5163026e+00
  9.5403585e+00  2.8096474e+01  2.8417667e+01  2.7457026e+01
  2.0573179e+01 -6.7315531e+00 -1.1212449e+01 -7.9242382e+00
  3.3498079e-02  4.3378930e+00 -2.8630311e+00 -1.0770782e+01
 -8.9622564e+00  2.2980995e+00  6.2130136e+00 -1.3729557e+00]"	dog
"[-197.20245     145.03        -74.844185    -17.011284    -51.320915
   11.814699    -21.256712      2.784359      3.031638      2.7785537
    8.616806    -16.741282     -2.044898    -13.610977      2.4670606
   -5.0536704    -5.263301     -1.7308264     2.6254668     6.8199577
   -7.1180873    -1.618697     -7.1291485     0.901341     -1.3392793
    0.8013481     3.161599     -0.51896465    2.5022142    -3.0090094
    0.46813247   -4.980129     -1.4418117     0.47182667    0.31013575
    1.1647468    -2.5365984     0.27882352   -1.1966108     1.7402849 ]"	dog
"[-2.5624872e+02  1.2383344e+02 -3.1546331e+01  6.1970207e+01
 -2.9310154e+01  3.2638485e+01 -5.2303524e+00  5.6472006e+00
  6.7195559e+00 -8.2177238e+00  5.2198172e+00 -9.7181005e+00
  9.6055880e+00 -4.8551764e+00  7.2492151e+00 -2.6535451e+00
 -2.5979583e+00  2.6546280e+00 -2.2970815e+00  1.7858633e+00
 -7.8899713e+00  3.7617276e+00 -4.0205598e+00 -2.9834050e-01
 -2.5279024e+00 -4.2207351e+00  4.5208675e-01 -3.3428795e+00
  2.6069350e+00 -1.9450520e+00  1.2444280e+00 -2.5097613e+00
 -1.2216444e+00 -9.4803452e-01 -2.2871094e+00  1.6903061e-01
 -2.7701216e+00 -2.2950886e-01 -2.5759151e+00 -6.4098626e-01]"	cat
"[-254.11806     195.00536     -62.78199     -17.474928     -7.696343
  -11.783616    -17.00493      -3.6971793   -18.444738      7.5572267
   13.320861     -9.108032     11.024819      1.7434635    -7.4140053
  -17.263178     -5.6130786    -4.989288     -9.357088      7.17964
    1.913417      7.738262      4.6184587     1.5273097     6.031419
    0.42476907    2.741429      1.6749291    -2.7894635     0.6811748
    2.253347     -4.083875     -2.9053748    -0.34869152   -1.5602897
    2.76972       4.5723724     2.066009      4.171113      5.481578  ]"	dog
"[-285.5022     152.43071    -92.417625     3.7017353   33.33649
  -40.873417    -2.2890282   19.175446   -21.285435    -1.5722866
    6.0845537  -18.232845    -1.0637255    4.3066425   -5.0383444
    9.032683     7.2369432   -1.4345453    9.243527     4.472019
   -2.4182475    7.270313     2.760093    -1.1880537    6.151682
    3.0459418    1.3763257    6.77445      3.9086645    3.209383
    7.605654     5.150309     4.657602     5.914432     3.85975
    5.181819     5.6506004    3.613118     4.9904504    4.5594354]"	cat
"[-2.6930948e+02  1.2383831e+02 -1.4568421e+01  2.0184132e+01
 -8.8949804e+00  1.9489864e+01 -7.2730899e+00  4.2071271e+00
 -3.5097234e+00 -9.4060774e+00  6.1112504e+00 -2.0916145e+00
  5.5918026e+00 -2.0307825e+00  5.0138988e+00  2.2912059e+00
  1.1404177e+01  7.6710458e+00 -5.5548508e-02  1.2413424e+01
  8.2174168e+00  7.9888840e+00  1.0144244e+00  7.4584565e+00
  5.0909266e+00 -2.4098088e-01  5.9254913e+00  2.9227562e+00
  2.6292169e+00 -2.4767938e+00 -1.9263878e+00 -4.5409504e-01
 -1.2834777e-01 -6.1495471e-01  3.4929916e-01  2.2318268e+00
  5.7051933e-01  3.0906799e+00  3.1115782e+00  1.4977769e+00]"	dog
"[-1.8777792e+02  1.3117351e+02 -4.7187996e+01  4.2515263e+01
 -2.8994780e+01  1.9183321e+01 -1.2289150e+01  8.7180910e+00
  2.2744718e-01 -5.6847382e+00  5.7365956e+00 -9.8297377e+00
  7.1614337e+00 -1.0140614e+01  4.0728064e+00 -5.2444863e+00
 -1.0570204e+00 -3.0093558e+00 -8.2563820e+00  7.9584801e-01
 -6.4619784e+00  1.9583951e+00 -7.0034666e+00 -2.6897669e-01
 -2.3879542e+00 -1.4021353e+00  2.6049066e-01 -3.3577292e+00
  8.9256406e-01 -4.5959029e+00  1.1277163e+00 -2.1876049e+00
 -8.9103240e-01 -2.1484210e+00 -2.7551031e+00 -1.7776660e+00
 -3.2050200e+00  5.7035495e-02 -3.0792019e+00 -1.4168566e+00]"	cat
"[-1.76750244e+02  1.03445145e+02 -7.97521667e+01  4.87174721e+01
 -5.10235863e+01  2.51645355e+01 -2.49313278e+01  1.36940851e+01
 -6.06687784e+00 -5.55180836e+00  5.49740505e+00 -1.21957664e+01
  1.18002167e+01 -2.06414585e+01  1.22228432e+00 -1.11386633e+01
  9.64266837e-01  1.55984926e+00  1.96052551e+00  5.64336014e+00
 -2.41567540e+00  6.58815384e+00 -7.52133179e+00  5.23801184e+00
 -3.18963379e-01  1.36466491e+00 -2.43478251e+00 -4.02757978e+00
 -3.08472276e-01 -1.45383239e+00  5.34377635e-01 -6.96756554e+00
  1.60086584e+00 -1.13016319e+00  2.00846219e+00  5.78994811e-01
  8.76662135e-02  4.42284793e-01 -1.92256749e+00 -1.13406770e-01]"	cat
"[-3.0286023e+02  1.4882874e+02 -2.0296440e+01 -3.7762630e+01
 -1.6826956e+01 -1.2683131e+01 -1.4824688e+01 -1.7481339e+01
 -1.5496725e+01 -9.2161369e+00  8.7071676e+00  1.3042397e+01
 -1.4518041e+01 -5.3563056e+00  1.8985552e+01 -1.0348250e+01
 -2.1124823e+01 -6.8362355e+00 -9.2788477e+00  4.2514729e+00
  1.9384771e+01  1.2128979e+01  7.3012381e+00  9.7522650e+00
  9.9870481e+00  1.0348509e+01  6.5920978e+00  9.7917662e+00
  9.1830616e+00 -4.6704836e+00 -4.7419314e+00 -6.9922191e-01
 -9.9491602e-01 -1.4191803e-01 -3.3346727e+00 -4.2536845e+00
  1.4494988e+00  4.3406339e+00  1.1211404e+00  6.1766738e-01]"	dog
"[-200.81645     131.75566     -99.184296     -6.603776    -31.460472
   13.036618    -25.254204     12.0938635     4.2583923    -9.925909
    7.3503003   -14.284293     -1.8577735   -14.251063      9.033885
    6.130177      4.160302      5.176832     -4.9559174     0.56808984
   -6.9318686     2.4802842    -1.1928895     0.8695422    -3.0981686
   -5.6097627    -2.5927954    -5.95424      -0.4772002     1.402779
   11.560188     13.978043     12.581248      6.109285     -0.63784146
   -1.3606653     0.21062823    4.785192      2.3356333    -0.63236797]"	cat
"[-2.73843170e+02  8.93907928e+01 -2.55673828e+01  4.13454857e+01
 -6.18140650e+00  4.19409790e+01  1.13734312e+01  4.19411736e+01
  3.31985817e+01  1.71262093e+01  7.32383204e+00 -1.57675905e+01
  1.46426373e+01  1.15303764e+01  1.71438122e+01 -2.62554336e+00
  1.18484058e+01  7.08912516e+00 -9.36786747e+00  1.10231342e+01
  9.19035554e-01  7.07592154e+00  1.59109128e+00  7.26895511e-01
  4.88093019e-01 -4.39398214e-02  5.65374947e+00  1.61701155e+00
  1.39878750e+00 -6.20260060e-01  7.18180513e+00  2.04887128e+00
 -4.03546858e+00  4.13244814e-01  7.30125964e-01  9.37393680e-02
  1.86005592e+00  1.24260318e+00  1.24161386e+00  4.09111500e+00]"	cat
"[-2.6513922e+02  1.8390839e+02 -2.0993109e+01 -2.7281158e+01
 -2.6928919e+01 -8.9277420e+00  4.9833169e+00 -9.5798502e+00
 -1.9079098e+01 -7.2407241e+00  6.6761990e+00  1.4943219e+01
 -3.1855701e+01 -2.5496077e+01  3.1818735e+01 -8.0735950e+00
 -1.2754630e+01 -1.9831532e+00 -2.9300331e+01 -1.5969876e+01
  1.1779399e+00 -8.2296867e+00 -8.7986879e+00  8.1470194e+00
  7.0120711e+00  1.4590323e+01  1.6784592e+01  1.9292902e+01
  2.3297253e+01  1.3713883e+01  1.6017210e+01  2.1264704e-01
 -2.9584565e+00 -6.7173898e-01 -2.9783597e+00  4.1224761e+00
 -3.7861541e-01 -3.6350150e+00 -3.3891432e+00 -2.4997151e-01]"	dog
"[-4.11001984e+02  1.20516411e+02 -3.15085468e+01  6.55754547e+01
 -1.92241611e+01  3.18927288e+01 -8.40362263e+00  1.63559895e+01
  1.12808762e+01 -3.32249570e+00  1.14326334e+01 -9.12928486e+00
  9.59184647e+00 -8.27603531e+00  7.54696655e+00  1.97543752e+00
  3.71195412e+00  4.34844780e+00 -2.92296219e+00  6.89689589e+00
 -4.44897413e+00  4.61577749e+00 -3.39690661e+00  1.27454400e+00
  7.83048868e-01 -1.64083707e+00  8.62813115e-01 -3.24295020e+00
  1.20161915e+00 -3.85123944e+00 -3.28381032e-01 -3.95148134e+00
  7.99605727e-01 -1.54516208e+00 -2.34473968e+00  4.46987599e-01
 -4.45952797e+00  1.20492585e-01 -4.16611385e+00 -4.40227568e-01]"	cat
"[-1.6555490e+02  1.1077009e+02 -1.3640004e+02  2.9248308e+01
 -3.9820156e+01  1.6992519e+01 -2.9394409e+01  1.8388044e+01
 -1.2780844e-01 -8.1520805e+00  9.9890890e+00 -2.4992357e+01
  1.2158627e+01 -3.9589677e+00  3.5042069e+00 -1.3697695e+00
  4.3995500e+00  3.3729107e+00 -1.3036934e+00  5.6965084e+00
 -2.6842089e+00 -6.2199390e-01 -6.8509946e+00  3.5782230e+00
 -2.1827025e+00  2.3617629e-02 -5.5828376e+00 -5.2391319e+00
  2.6110194e+00 -2.6813219e+00  3.5553687e+00  2.5715828e+00
  8.2269707e+00  2.6280739e+00 -1.2860388e+00 -1.4738680e+00
  1.1082965e+00  2.5187593e+00  1.3572823e+00  2.1647499e+00]"	cat
"[-3.34529297e+02  1.11094666e+02 -1.92282524e+01  2.55928555e+01
 -1.45401773e+01  1.28871870e+01 -5.73841274e-01  4.61784506e+00
  5.60302734e+00 -4.41963911e+00  7.46904659e+00  2.10421324e+00
  8.23834896e+00 -3.07389045e+00  1.82699311e+00  1.00360715e+00
 -3.71993989e-01  4.04036093e+00 -3.10307288e+00  3.65733922e-01
 -3.65083051e+00 -1.24497688e+00 -4.39549237e-01 -6.57089591e-01
 -9.20877218e-01 -4.50971454e-01  1.50440240e+00 -2.85545206e+00
 -1.11219645e+00 -8.35815847e-01  5.08473098e-01 -1.31489730e+00
  2.87167668e-01  1.87515068e+00 -1.08558440e+00  3.90245706e-01
 -1.29701400e+00  6.72634602e-01  9.44125950e-01 -5.56164026e-01]"	cat
"[-3.0318839e+02  1.3141943e+02 -6.5095291e+01 -1.7502394e+01
 -9.5559549e+00  1.1120583e+01  5.6286353e-01  1.7761976e+01
  1.2668334e+01  4.6217442e+00  2.6309190e+00 -9.5968523e+00
  5.0983787e+00 -3.2347730e-01  1.9112890e+00  2.3464329e+00
  4.3755727e+00  3.9015892e+00 -1.0951179e+00  3.4298971e+00
  2.3430023e+00  3.1625707e+00  1.1773022e+00  1.8384942e+00
  1.7930859e+00  1.5428946e+00  5.6425738e-01  4.5786515e-01
  6.8786609e-01 -6.0106093e-01 -4.2229879e-01 -9.1809005e-02
  2.8783779e+00  3.5801896e-01  1.4189075e+00  2.0388184e+00
  8.9127368e-01  1.9685650e+00  1.3779632e+00  1.4207793e+00]"	dog
"[-237.94952    196.7013     -42.944923   -54.00888    -28.927013
  -10.710159   -16.665972     7.4596624  -24.523998   -14.402543
   14.534027    -7.193939    -7.777488     2.0732358   24.710466
   -6.3032236   -3.547794     6.8314114  -21.90859     -1.7386718
    1.6772       1.6443229    2.4913788    8.34836     16.205181
    2.7216122   10.350212    10.061189     5.092351     6.561934
    1.1529533   -0.6423457   -2.3283453   -1.06852      4.082826
    1.7566572   -1.1721716    1.3936468   -2.2113643   -0.7727205]"	dog
"[-2.46509109e+02  1.74174164e+02 -1.15307083e+01 -2.27860832e+01
 -1.76342239e+01 -1.61921234e+01 -7.02110767e+00 -2.05950851e+01
 -1.96684685e+01 -1.19757757e+01  8.88512802e+00  1.90321407e+01
 -2.27302761e+01 -1.64830418e+01  2.15155716e+01 -7.17416239e+00
 -1.56172142e+01 -1.18647568e-01 -2.27822666e+01 -1.42173195e+01
  7.64696789e+00 -3.92951608e+00  6.04096413e-01  1.24323740e+01
  1.28270512e+01  1.36152296e+01  4.37431479e+00  2.37945461e+00
  4.81537437e+00 -6.85949445e-01  7.76814079e+00  1.14835968e+01
  3.63530993e+00  8.17640400e+00  8.43653870e+00 -9.80034247e-02
 -3.09255743e+00 -2.10417628e+00  4.09417486e+00  3.89328432e+00]"	dog
"[-2.94320343e+02  1.41227798e+02 -1.20474655e+02 -3.72785454e+01
  1.16021423e+01 -2.11992817e+01  2.57889819e+00 -1.17152321e+00
 -9.94073677e+00  8.09183025e+00 -1.43462944e+00 -6.20068359e+00
  4.17773151e+00  1.69996902e-01  1.11312246e+00  4.45978165e+00
 -6.15054131e-01 -4.54416084e+00 -8.04705143e+00 -1.00405998e+01
 -6.51820087e+00 -2.09709787e+00 -4.52426100e+00 -6.53041172e+00
 -2.44566727e+00 -2.88880348e+00 -3.95338249e+00 -5.37089050e-01
 -2.57142043e+00 -3.19000149e+00  1.81391329e-01 -3.32785964e+00
 -2.63523459e+00 -7.04874754e-01 -3.41955328e+00  9.90894794e-01
 -8.99495959e-01 -4.00592089e+00  1.29632092e+00 -1.76047862e+00]"	cat
