Features	Class
"[-3.1271356e+02  1.2793828e+02 -2.0419127e+01 -2.7522329e+01
 -2.1774361e+01 -7.6170244e+00 -2.4547237e+01 -1.0844151e+01
 -9.1736393e+00 -1.6544260e+01 -3.3230436e+00 -2.4944060e+00
  8.7271070e+00  5.9951706e+00  6.6830130e+00  9.8794565e+00
  2.9698882e+00  1.8092488e-01 -4.5931211e-01  8.2722223e-01
 -3.4224536e+00 -7.2631854e-01 -6.9365805e-01 -3.1446774e+00
 -1.6413487e-01 -7.8258872e-01 -1.3944396e+00 -1.0228921e+00
 -1.2134277e+00 -2.8750226e+00 -1.3169850e+00 -1.2781266e+00
 -1.4157859e+00 -6.8999970e-01 -1.6328915e+00 -1.8188329e-02
 -1.9832148e-01  7.1298140e-01  1.1150081e+00 -5.7531867e-02]"	dog
"[-3.0298285e+02  1.1737560e+02 -1.8217058e+01  1.7997553e+01
 -1.5454664e+01  1.2622507e+01 -9.0730989e-01  4.5551553e+00
  5.6601100e+00 -5.0189085e+00  3.0136213e+00 -4.9326634e+00
  3.1923914e+00 -4.3401480e+00  5.0504451e+00  6.4484663e+00
  4.1816096e+00  9.4017496e+00  6.3983130e-01  4.2482209e+00
 -2.2422419e+00 -4.1291261e+00 -2.3210061e+00 -3.5195186e+00
 -2.4283290e+00 -1.2697020e+00 -1.1968508e+00 -4.0873594e+00
 -1.0721034e+00 -1.2022554e+00  4.9511340e-01 -1.5413272e+00
 -9.4985038e-01  2.0181897e+00  6.5618418e-02  6.8824291e-01
 -1.7533188e+00  1.2887983e+00  8.1454581e-01 -1.4285901e+00]"	cat
"[-270.3863     212.93855    -76.444       17.379051    19.383013
  -45.83479      8.946909    -2.0522954  -30.441753     9.244746
   -6.8939676  -15.277735    13.730916    -8.983236   -10.794529
    6.567243   -10.775954    -2.391179     7.6641245   -8.438606
    0.6224786    3.307916    -9.879849     1.8933978    1.7712111
   -5.5704083    4.4732714   -1.2118105   -4.4302564    4.8311114
   -2.526992    -3.896385     3.8824854   -2.94928     -1.8787407
    1.8143804   -5.8958874   -2.2780402   -0.6558996   -5.8993154]"	cat
"[-4.2668005e+02  1.2050465e+02 -2.8993338e+01  6.0598007e+01
 -1.6065613e+01  2.8743618e+01 -7.5342393e+00  1.4562341e+01
  1.0205508e+01 -2.0214190e+00  1.2533250e+01 -6.9537539e+00
  9.1442633e+00 -7.0288291e+00  6.7721825e+00  1.3333914e+00
  4.8054724e+00  5.8987522e+00 -2.9601078e+00  5.5177121e+00
 -5.7618961e+00  3.2817423e+00 -2.2280045e+00  1.8117647e+00
  5.1689163e-02 -2.8692024e+00  1.1692281e+00 -2.2656591e+00
  1.1741420e+00 -4.8175225e+00  1.8512109e-01 -1.0557835e+00
  1.2678241e+00 -8.9778370e-01 -2.2504685e+00  3.4674972e-01
 -4.4391594e+00 -1.0608788e+00 -3.8882799e+00 -8.7091172e-01]"	cat
"[-2.5986716e+02  1.0345197e+02 -6.0848598e+01  2.3492657e+01
 -1.5509174e+01  2.2569273e+01 -1.2731596e+01  5.6654781e-01
 -6.2415719e+00 -1.1040917e+01  2.0352311e+00 -1.4111909e+01
  9.9360790e+00 -5.2930727e+00 -2.4702734e-01 -4.0885053e+00
 -8.8948317e+00 -3.4262798e+00 -8.4406738e+00 -5.8957772e+00
 -9.5592680e+00 -4.0783281e+00 -6.2365117e+00 -1.4572029e+00
 -3.5033288e+00 -1.0599245e+00 -1.2742548e+00 -5.2411404e+00
 -2.3450420e+00 -6.1239724e+00  5.3093914e-02 -5.9417019e+00
 -2.0535345e+00 -1.6634353e-02 -2.4555488e+00  1.6789976e+00
 -2.9557080e+00  8.5005313e-01 -1.8245184e+00 -1.6126597e+00]"	cat
"[-2.9698874e+02  1.2090442e+02 -1.5337089e+01  4.1019611e+01
 -1.6089840e+00  2.0494007e+01  1.3340242e+00  5.3782811e+00
  1.0774874e+01  3.3221033e+00  1.0409766e+01  8.7269604e-01
  9.0563965e+00 -3.0548427e+00  3.3627796e+00  5.5716114e+00
  2.9631026e+00  3.2262895e+00 -1.2923766e+00  8.8843536e+00
  4.1636600e+00  2.4489298e+00 -8.3831787e-01  4.0665097e+00
  4.4862547e+00 -1.0799463e+00  4.7685924e+00  5.5562544e-01
  3.6282763e-01  1.4692198e+00  3.6720307e+00 -2.7176494e-02
 -1.2700393e+00  1.5453532e+00 -1.7437708e+00  1.6339560e+00
 -6.2844372e-01 -1.5002177e+00  1.8174782e-01 -1.7814966e-02]"	cat
"[-2.5753989e+02  1.0885936e+02 -3.3799858e+01  3.0012272e+01
 -1.9620821e+01  1.2568658e+01 -8.5121651e+00  5.3575883e+00
 -8.5649359e-01 -5.2942419e+00  3.6990728e+00 -8.4269943e+00
  4.5165215e+00 -6.4153295e+00  3.4758031e+00 -3.8494332e+00
 -1.7494012e+00 -1.8367209e+00 -5.9012828e+00  1.1165786e+00
 -5.9027824e+00  7.3619598e-01 -4.4266796e+00 -5.6961745e-01
 -1.6094389e+00 -1.3195056e+00  1.0004559e+00 -2.8391078e+00
  5.4714888e-01 -3.1276035e+00  6.9056267e-01 -1.2229711e+00
 -7.9859722e-01 -1.2638544e+00 -2.5830002e+00 -1.7206538e+00
 -2.9541125e+00  1.6024594e-01 -2.1814909e+00 -1.7191633e+00]"	cat
"[-3.5716754e+02  5.2370419e+01 -8.3803024e+01 -1.4943130e+01
  2.1255493e-01 -2.7107779e+01 -1.2569342e+01  5.2200122e+00
  1.1104366e+01  3.3657324e+00 -1.8084711e+01 -1.5763408e+01
 -3.3172309e+00 -2.5422399e+00  2.0617395e+01  3.0988546e+01
  1.1633335e+01 -9.3267059e+00 -1.4311658e+01  2.0161259e-01
  5.6447153e+00  3.3538775e+00 -1.6448704e+01 -2.4392715e+01
  6.1136279e+00  1.0023495e+01 -6.5281787e+00 -5.3565016e+00
  1.4092931e+00  3.3159585e+00 -3.9810979e+00 -1.0778196e+01
 -3.9210572e+00  1.3304280e+00 -8.0019493e+00 -2.6137316e+00
  4.1223745e+00 -6.6869397e+00 -2.0171013e+00  4.1479950e+00]"	cat
"[-329.64362     133.52702       2.1407254    55.752186     -6.897235
   31.852024     -4.604829      9.5710945     3.9467099    -2.8462684
   11.436371     -3.511536     11.150645     -5.119812      3.7698276
   -3.448891     -1.7207681     1.753107     -5.397873      2.2649782
   -2.0464344     8.478209      2.5529306     5.451628      5.1771946
    3.7274737     5.192122     -0.81981117    3.6973886    -1.0909948
    1.3598081    -0.9708169     0.55249953    2.0464451     0.5364387
    2.8350828    -0.3417152     1.543985     -1.8951999    -1.602294  ]"	cat
"[-2.7337149e+02  8.8167068e+01 -5.0097332e+01  4.4589336e+01
 -9.1392584e+00  1.6992094e+01 -2.1503489e+00  5.6805010e+00
  1.5985505e+01 -7.2201127e-01  1.2099456e+01 -4.0214124e-01
  9.4039965e+00  2.4325734e-01  2.5068477e-01  4.3066802e+00
  3.3257768e+00  1.0932462e+01  1.0026195e+01  1.5731062e+01
  6.9426694e+00  5.6300106e+00  3.0449800e+00  2.0390558e+00
  4.1681523e+00 -5.2359021e-01  1.6818275e+00 -2.0691350e+00
  6.2409639e-01  1.3760988e+00  1.4078152e-01  1.2498713e-02
 -1.2670320e+00  3.4642987e+00  5.4505520e+00  6.7768579e+00
  5.9352665e+00  6.6900377e+00  5.6569619e+00  2.1421208e+00]"	cat
